episode;date;rating;title;summary
S04E01;1992-09-24;8.5;Kamp Krusty;Bart and Lisa attend "Kamp Krusty" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.
S04E02;1992-10-01;8.1;A Streetcar Named Marge;Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.
S04E03;1992-10-08;8.9;Homer the Heretic;Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.
S04E04;1992-10-15;7.7;Lisa the Beauty Queen;Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.
S04E05;1992-10-29;8.4;Treehouse of Horror III;An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.
S04E06;1992-11-03;8.2;Itchy & Scratchy: The Movie;With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie.
S04E07;1992-11-05;7.8;Marge Gets a Job;When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart "cries wolf" to avoid taking a test.
S04E08;1992-11-12;8.2;New Kid on the Block;Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.
S04E09;1992-11-19;8.8;Mr. Plow;Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work.
S04E10;1992-12-03;8.7;Lisa's First Word;While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers.
S04E11;1992-12-17;8.6;Homer's Triple Bypass;Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs.
S04E12;1993-01-14;9.1;Marge vs. the Monorail;After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell.
S04E13;1993-01-21;8.0;Selma's Choice;Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.
S04E14;1993-02-04;8.1;Brother from the Same Planet;When Bart gets tired of Homer's horrible parenting skills, he enrolls in the "Bigger Brother" program where he's assigned a fantastic role model.
S04E15;1993-02-11;8.4;I Love Lisa;Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her.
S04E16;1993-02-18;8.3;Duffless;After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster.
S04E17;1993-03-11;9.0;Last Exit to Springfield;When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike.
S04E18;1993-04-01;7.0;So It's Come to This: A Simpsons Clip Show;As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships.
S04E19;1993-04-15;8.1;The Front;Bart and Lisa convince Grampa to let them use his name for episodes of "Itchy and Scratchy" they have written; Homer re-takes a test he failed in high school.
S04E20;1993-04-29;8.1;Whacking Day;Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.
S04E21;1993-05-06;7.7;Marge in Chains;A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos.
S04E22;1993-05-13;8.1;Krusty Gets Kancelled;When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown.
S05E01;1993-09-30;8.5;Homer's Barbershop Quartet;After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps.
S05E02;1993-10-07;9.1;Cape Feare;After being released from prison on parole, Sideshow Bob plots to murder Bart.
S05E03;1993-10-14;8.6;Homer Goes to College;When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.
S05E04;1993-10-21;8.8;Rosebud;After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll.
S05E05;1993-10-28;8.8;Treehouse of Horror IV;Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire.
S05E06;1993-11-04;8.0;Marge on the Lam;A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.
S05E07;1993-11-11;7.6;Bart's Inner Child;Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results.
S05E08;1993-11-18;8.6;Boy Scoutz 'n the Hood;After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry.
S05E09;1993-12-09;8.5;The Last Temptation of Homer;Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.
S05E10;1993-12-16;8.6;$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling);Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines.
S05E11;1994-01-06;8.2;Homer the Vigilante;An outbreak of burglaries inspires Homer to lead a vigilante group.
S05E12;1994-02-03;8.1;Bart Gets Famous;Bart becomes an overnight sensation as the "I didn't do it" boy on Krusty the Clown's show.
S05E13;1994-02-10;8.2;Homer and Apu;Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.
S05E14;1994-02-17;8.1;Lisa vs. Malibu Stacy;Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.
S05E15;1994-02-24;8.8;Deep Space Homer;In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.
S05E16;1994-03-17;8.5;Homer Loves Flanders;After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.
S05E17;1994-03-31;7.8;Bart Gets an Elephant;After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.
